time,prec
10710,1.8961201249112491e-06
10740,3.71822693523427e-07
10770,1.6030462575145066e-06
10800,2.1883649878873257e-06
10830,5.374022293835878e-07
10860,4.4259749643060786e-07
10890,2.125876790159964e-06
10920,1.659847839619033e-06
10950,1.0508097147976514e-06
10980,1.675853923188697e-06
11010,1.0367722325099749e-06
11040,5.106118692310702e-07
11070,9.28390193166706e-07
11100,1.7808556549425703e-06
11130,1.6738071053623571e-06
11160,3.6742114843946183e-06
11190,1.4464550304182922e-06
11220,9.946072623279179e-07
11250,1.7638676581555046e-06
11280,2.008048568313825e-06
11310,9.281789630222192e-07
11340,2.449110297675361e-06
11370,3.40916062668839e-06
11400,1.8315639636057313e-06
11430,1.1165089972564601e-06
11460,3.0324952149385354e-06
11490,2.5612523586460156e-06
11520,1.9438921299297363e-06
11550,6.129672556198784e-07
11580,2.242621121695265e-06
11610,1.6590471432209597e-06
11640,2.2198287297214847e-06
11670,2.588757524790708e-06
11700,1.8185695580541505e-06
11730,9.753756557984161e-07
11760,1.3529727311833994e-06
11790,2.4267508251796244e-06
11820,9.595737537893e-07
11850,8.66891241457779e-07
11880,1.5260451391441165e-06
11910,1.2835340612582513e-06
11940,9.799171039048815e-07
11970,2.0318916540418286e-06
12000,6.085810468903219e-07
12030,2.383203394629163e-07
12060,1.5144249800869147e-06
12090,1.6820084738355945e-06
12120,1.2240568594279466e-06
12150,1.5976216900526197e-06
12180,5.95221194998885e-07
12210,1.6369301647500833e-06
12240,8.747135780140525e-07
12270,1.875770976766944e-06
12300,2.2066797100706026e-06
12330,1.8707835351960966e-06
12360,2.006454678848968e-06
12390,1.097114591175341e-06
12420,2.774684617179446e-06
12450,1.3059205912213656e-06
12480,2.7844623673445312e-06
12510,1.2514273066699388e-06
12540,1.5603719702994567e-06
12570,2.4636342459416483e-06
12600,9.140248948824592e-07
12630,2.92151730718615e-06
12660,9.060474894795334e-07
12690,2.2779277060180902e-06
12720,2.32123670684814e-06
12750,9.050102107721614e-07
12780,1.7575634956301656e-06
12810,3.330022082081996e-06
12840,2.52567883762822e-06
12870,2.1780092538392637e-06
12900,1.5039405525385519e-06
12930,2.5535830445733154e-06
12960,1.9430449356150348e-06
12990,7.586555170746578e-07
13020,3.7261506804497913e-06
13050,1.016430701383797e-06
13080,1.7699674117466202e-06
13110,4.851849553233478e-07
13140,2.1909268070885446e-06
13170,2.5219264898623805e-06
13200,2.391593341144471e-07
13230,2.185580569857848e-06
13260,7.312986554097733e-07
13290,1.9049937236559344e-06
13320,6.671478445241519e-07
13350,6.704363499920873e-07
13380,1.5505761439271737e-06
13410,1.8447808542987332e-06
13440,1.0326988331144094e-06
13470,3.113086222583661e-06
13500,2.7439125460659852e-06
13530,9.649131698097335e-07
13560,8.254085628323082e-07
13590,2.885036565203336e-06
13620,4.699000157870614e-07
13650,1.6176581993931904e-06
13680,1.3678753703061375e-06
13710,4.659007402096904e-07
13740,2.166110107282293e-06
13770,1.2891846381535288e-06
13800,1.9314556993776932e-06
